                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      8.0000000000000004E-001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                 star_age                                star_mass                                   log_dt                           mass_conv_core                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                  extra_L                              log_extra_L                                 log_Teff                                    log_L                                    log_R                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                        center_degeneracy                             center_gamma                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_c13                               center_n13                               center_n14                               center_o16                               center_o18                               surface_h1                            total_mass_h1                           total_mass_he4                           total_mass_c12                           total_mass_o16                                       pp                                      cno                                 tri_alfa                                   burn_c                                  c12_c12                                  c12_o16                                  o16_o16              total_internal_energy_start         total_gravitational_energy_start                       total_energy_start                    total_internal_energy               total_gravitational_energy                             total_energy                           total_eps_grav                      total_extra_heating           total_energy_sources_and_sinks 
                                       1                  1.0000000000000001E-005                  7.9999999999998650E-001                 -4.9999999999999991E+000                  5.4075995811977189E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0737439884475226E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6354388843787926E+000                  2.2257045337426988E+000                  1.3652333345663910E+000                  1.6105126712722795E+000                  5.4779732112105091E+000                 -3.0802799631710696E+000                  1.0526687992851107E+001                 -7.5572894597782359E+000                  7.8452370005077376E-002                  6.1244791310603408E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881665E-003                  1.4751440853781611E-005                  7.1799999999999975E-001                  5.7439999999999003E-001                  2.1437718352500409E-001                  1.9273001023953193E-003                  5.2300504439904399E-003                 -2.0737439884475226E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.5135918582540605E+046                 -1.0267841038911716E+047                 -2.7542491806576553E+046                  7.5135918636355994E+046                 -1.0267841064372020E+047                 -2.7542491940033413E+046                  2.0386882594096884E+038                  0.0000000000000000E+000                 -2.0386882592152323E+038 
                                       2                  2.2000000000000003E-005                  7.9999999999997007E-001                 -4.9208187539523749E+000                  5.4075681853993372E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0737439957597218E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6351495919267616E+000                  2.2245179320179918E+000                  1.3652186186080995E+000                  1.6105421031888538E+000                  5.4779732128673650E+000                 -3.0802799532955154E+000                  1.0526688004359878E+001                 -7.5572894429072424E+000                  7.8452370300427898E-002                  6.1244791310433067E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781611E-005                  7.1800000000000008E-001                  5.7439999999997904E-001                  2.1437718352499999E-001                  1.9273001023952833E-003                  5.2300504439903401E-003                 -2.0737439957597218E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.5135918636355699E+046                 -1.0267841064371784E+047                 -2.7542492007362145E+046                  7.5135918700188651E+046                 -1.0267841094793620E+047                 -2.7542492181426250E+046                  2.4397507835432548E+038                  0.0000000000000000E+000                 -2.4397507835494766E+038 
                                       3                  3.6400000000000004E-005                  7.9999999999995053E-001                 -4.8416375079047498E+000                  5.4075297543847891E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0737440044238799E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6348095706628238E+000                  2.2231229813118669E+000                  1.3652011857829114E+000                  1.6105769688392189E+000                  5.4779732149649387E+000                 -3.0802799417050850E+000                  1.0526688018022693E+001                 -7.5572894236265142E+000                  7.8452370619426726E-002                  6.1244791310173885E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881665E-003                  1.4751440853781613E-005                  7.1799999999999997E-001                  5.7439999999996394E-001                  2.1437718352499430E-001                  1.9273001023952330E-003                  5.2300504439902031E-003                 -2.0737440044238799E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.5135918700187799E+046                 -1.0267841094793294E+047                 -2.7542492247745136E+046                  7.5135918776061444E+046                 -1.0267841131147880E+047                 -2.7542492470240502E+046                  2.9183122721922727E+038                  0.0000000000000000E+000                 -2.9183122724454932E+038 
                                       4                  5.3680000000000001E-005                  7.9999999999992710E-001                 -4.7624562618571247E+000                  5.4074825400617712E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0737440146639809E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6344105553850454E+000                  2.2214856996786110E+000                  1.3651805755218405E+000                  1.6106181893613483E+000                  5.4779732176143474E+000                 -3.0802799281365170E+000                  1.0526688034214422E+001                 -7.5572894017138159E+000                  7.8452370957852402E-002                  6.1244791309795421E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881665E-003                  1.4751440853781611E-005                  7.1799999999999997E-001                  5.7439999999994729E-001                  2.1437718352498808E-001                  1.9273001023951766E-003                  5.2300504439900496E-003                 -2.0737440146639809E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.5135918776060937E+046                 -1.0267841131147537E+047                 -2.7542492535414435E+046                  7.5135918866384328E+046                 -1.0267841174589096E+047                 -2.7542492815632895E+046                  3.4887972064740301E+038                  0.0000000000000000E+000                 -3.4887972063705415E+038 
                                       5                  7.4416000000000000E-005                  7.9999999999989924E-001                 -4.6832750158095005E+000                  5.4074242866783844E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0737440267321251E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6339435159918656E+000                  2.2195689277426793E+000                  1.3651562683402343E+000                  1.6106668037245455E+000                  5.4779732209573453E+000                 -3.0802799123020081E+000                  1.0526688053365492E+001                 -7.5572893769950502E+000                  7.8452371307427965E-002                  6.1244791309256486E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881682E-003                  1.4751440853781611E-005                  7.1799999999999986E-001                  5.7439999999992708E-001                  2.1437718352498053E-001                  1.9273001023951079E-003                  5.2300504439898648E-003                 -2.0737440267321251E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.5135918866383577E+046                 -1.0267841174588660E+047                 -2.7542492879503020E+046                  7.5135918973959450E+046                 -1.0267841226480850E+047                 -2.7542493228464706E+046                  4.1681198677367332E+038                  0.0000000000000000E+000                 -4.1681198678202473E+038 
                                       6                  9.9299199999999986E-005                  7.9999999999986593E-001                 -4.6040937697618753E+000                  5.4073520572707095E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0737440408917685E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6333935666446000E+000                  2.2173118384431563E+000                  1.3651276223850040E+000                  1.6107240956349880E+000                  5.4779732251797464E+000                 -3.0802798938778038E+000                  1.0526688075986897E+001                 -7.5572893493639608E+000                  7.8452371654082656E-002                  6.1244791308500557E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881665E-003                  1.4751440853781611E-005                  7.1799999999999986E-001                  5.7439999999990343E-001                  2.1437718352497173E-001                  1.9273001023950287E-003                  5.2300504439896506E-003                 -2.0737440408917685E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.5135918973958598E+046                 -1.0267841226480345E+047                 -2.7542493290844849E+046                  7.5135919104188289E+046                 -1.0267841288641369E+047                 -2.7542493721417658E+046                  4.9758165099864764E+038                  0.0000000000000000E+000                 -4.9758165098697591E+038 
                                       7                  1.2915903999999998E-004                  7.9999999999982596E-001                 -4.5249125237142502E+000                  5.4072619866081763E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0737440574736603E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6327578085836940E+000                  2.2147017302309364E+000                  1.3650940844007062E+000                  1.6107911716035619E+000                  5.4779732304861488E+000                 -3.0802798725529601E+000                  1.0526688102595973E+001                 -7.5572893188072783E+000                  7.8452371979579827E-002                  6.1244791307463242E-001                  8.5899893522242776E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881682E-003                  1.4751440853781611E-005                  7.1799999999999997E-001                  5.7439999999987446E-001                  2.1437718352496080E-001                  1.9273001023949314E-003                  5.2300504439893869E-003                 -2.0737440574736603E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.5135919104187194E+046                 -1.0267841288640385E+047                 -2.7542493782216655E+046                  7.5135919257789431E+046                 -1.0267841362660868E+047                 -2.7542494310011273E+046                  5.9352018657523141E+038                  0.0000000000000000E+000                 -5.9352018658551710E+038 
                                       8                  1.6499084799999998E-004                  7.9999999999977833E-001                 -4.4457312776666260E+000                  5.4071489316398080E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0737440768147980E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6320276241467919E+000                  2.2117027970134147E+000                  1.3650549866657495E+000                  1.6108693670734491E+000                  5.4779732371364318E+000                 -3.0802798479843689E+000                  1.0526688133798279E+001                 -7.5572892854262887E+000                  7.8452372257634587E-002                  6.1244791306060276E-001                  8.5899893522242776E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881682E-003                  1.4751440853781610E-005                  7.1799999999999997E-001                  5.7439999999984070E-001                  2.1437718352494831E-001                  1.9273001023948190E-003                  5.2300504439890781E-003                 -2.0737440768147980E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.5135919257788346E+046                 -1.0267841362660100E+047                 -2.7542494368812651E+046                  7.5135919438145018E+046                 -1.0267841450672168E+047                 -2.7542495012000190E+046                  7.0732304427257210E+038                  0.0000000000000000E+000                 -7.0732304426792015E+038 
                                       9                  2.0798901759999997E-004                  7.9999999999972149E-001                 -4.3665500316190009E+000                  5.4070059712236555E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0737440992575678E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6311900001261983E+000                  2.2082614784163481E+000                  1.3650095754084042E+000                  1.6109601895881094E+000                  5.4779732454465044E+000                 -3.0802798198042893E+000                  1.0526688170280815E+001                 -7.5572892494565531E+000                  7.8452372453323205E-002                  6.1244791304186863E-001                  8.5899893522242776E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881682E-003                  1.4751440853781610E-005                  7.1799999999999997E-001                  5.7439999999980007E-001                  2.1437718352493310E-001                  1.9273001023946826E-003                  5.2300504439887069E-003                 -2.0737440992575678E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.5135919438143548E+046                 -1.0267841450671312E+047                 -2.7542495068569574E+046                  7.5135919650950595E+046                 -1.0267841555331377E+047                 -2.7542495848262405E+046                  8.4208849698562840E+038                  0.0000000000000000E+000                 -8.4208849697644374E+038 
