                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        9793      3.7999999999999998E+000      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103 
                            model_number                                 star_age                                star_mass                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                            nuc_timescale                                   log_LH                                  log_LHe                                   log_LZ                                  extra_L                              log_extra_L                  mass_loc_of_max_eps_nuc                        eps_grav_integral                                 log_Teff                                    log_L                                    log_R                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                        center_degeneracy                             center_gamma                                center_mu                                center_ye                              center_abar                          center_eps_grav                           center_eps_nuc                                center_h1                               center_he4                               center_c12                               center_c13                               center_n13                               center_n14                               center_o16                               center_o18                               surface_h1                            total_mass_h1                           total_mass_he4                           total_mass_c12                           total_mass_o16                                       pp                                  c12_c12                                  c12_o16                                  o16_o16                              max_eps_nuc                          max_eps_nuc_lgT                        max_eps_nuc_lgRho                            max_eps_nuc_m                          max_eps_nuc_lgP                      max_eps_nuc_opacity              total_internal_energy_start         total_gravitational_energy_start                       total_energy_start                    total_internal_energy               total_gravitational_energy                             total_energy                           total_eps_grav                    total_nuclear_heating                total_non_nuc_neu_cooling                      total_extra_heating           total_energy_sources_and_sinks                              num_retries                              num_backups                    num_newton_iterations                                    max_T                                wimp_temp                                 Nx_total                                center_nx                                center_np                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                      o18                                     ne20                                     ne22                                     mg24 
                                       1                  1.0000000000000001E-005                  3.7999999999997911E+000                 -4.9999999999999991E+000                                      516                  2.5801516968846386E-004                  9.9998519172075240E-001                  2.0313546578185036E-002                  1.2519157991362273E-002                  1.7279183742773768E-003                  9.9998602614064214E-001                  2.4211393542703709E-004                  3.9004647096385625E-005                  7.8128003844213367E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2025512126400151E+003                  1.3719777019638134E+007                 -2.1390647440560546E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4844320730399722E-007                  2.7697243144157046E+003                  3.6184352500755557E+000                  3.4424365435498188E+000                  2.0076066080764243E+000                  1.0024597338770627E+000                  5.4779406637209691E+000                 -4.4057856208068138E+000                  9.2095168829874599E+000                 -1.0589313680793508E+001                  2.8366346015545343E-002                  6.1209605777797782E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  3.5927544461786056E+004                  7.1943875312669239E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529416E-003                  1.4751436645041001E-005                  7.1800000000000019E-001                  2.7283999999998514E+000                  1.0182916217437317E+000                  9.1546842247595388E-003                  2.4842732521059837E-002                 -2.1390647440560546E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.1943875312669239E-021                  5.4779406637209691E+000                 -4.4057856208068138E+000                  0.0000000000000000E+000                  9.2095168829874599E+000                  2.5411130450626164E+001                  3.7018985682712935E+047                 -4.9843696489323698E+047                 -1.2824710806610763E+047                  3.7018986035259402E+047                 -4.9843697173052423E+047                 -1.2824710716429296E+047                  3.3580165453765518E+039                  4.9317249523558381E+014                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.3580165454069805E+039                                        0                                        0                                        3                  3.0056656200033124E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  7.4416000000000000E-005                  3.7999999999984575E+000                 -4.6832750158095005E+000                                      516                  2.5794507268883118E-004                  9.9998519172075240E-001                  1.7279186469910351E-003                  3.9004647097162781E-005                  7.8128004621369485E-008                  9.9998519172075240E-001                  2.4212728457428915E-004                  3.9004647097162781E-005                  7.8128004621369485E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2117363549905651E+003                  1.3823715741378222E+007                 -2.1390647024237726E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4844320878054175E-007                  2.7488991173592872E+003                  3.6176292224743749E+000                  3.4391588018362818E+000                  2.0075797924220171E+000                  1.0025133651857243E+000                  5.4779404749616250E+000                 -4.4057852588207949E+000                  9.2095170434321485E+000                 -1.0589312206260169E+001                  2.8366366225694297E-002                  6.1209605782891130E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  2.9990635696495690E+004                  7.1943430756740659E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529416E-003                  1.4751436645041001E-005                  7.1800000000000008E-001                  2.7283999999988890E+000                  1.0182916217433731E+000                  9.1546842247563071E-003                  2.4842732521051080E-002                 -2.1390647024237726E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.1943430756740659E-021                  5.4779404749616258E+000                 -4.4057852588207949E+000                  0.0000000000000000E+000                  9.2095170434321485E+000                  2.5411185275133061E+001                  3.7018987567648295E+047                 -4.9843700147832907E+047                 -1.2824712580184612E+047                  3.7018988291157015E+047                 -4.9843701553769001E+047                 -1.2824712873006246E+047                  6.9108278399126392E+039                  1.0226434664452078E+015                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.9108278398915967E+039                                        0                                        0                                        3                  3.0056643136377743E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  2.5958682111999992E-004                  3.7999999999946703E+000                 -4.2873687855713767E+000                                      518                  2.5770698768255203E-004                  9.9998519172075240E-001                  1.7279193897383630E-003                  3.9004647095608469E-005                  7.8128003067057250E-008                  9.9998729225651528E-001                  7.8128003067057250E-008                  9.9999037380436118E-001                  9.9998937349229966E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2347821978058616E+003                  1.4084362053933430E+007                 -2.1390645773021202E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4844320582720057E-007                  2.6980277739448948E+003                  3.6156360439191801E+000                  3.4310464160598295E+000                  2.0075099566441810E+000                  1.0026530367409643E+000                  5.4779401354470734E+000                 -4.4057844480802677E+000                  9.2095174894807812E+000                 -1.0589309190096769E+001                  2.8366406052880429E-002                  6.1209605791371757E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  1.8945826326859657E+004                  7.1942657734023053E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529416E-003                  1.4751436645041000E-005                  7.1800000000000019E-001                  2.7283999999961774E+000                  1.0182916217423597E+000                  9.1546842247471998E-003                  2.4842732521026357E-002                 -2.1390645773021202E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.1942657734023038E-021                  5.4779401354470743E+000                 -4.4057844480802677E+000                  0.0000000000000000E+000                  9.2095174894807812E+000                  2.5411290927443275E+001                  3.7018992901111714E+047                 -4.9843710526800754E+047                 -1.2824717625689040E+047                  3.7018994658223418E+047                 -4.9843713954825496E+047                 -1.2824718977353488E+047                  1.6878114103171794E+040                  2.5446715216957730E+015                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6878114103233418E+040                                        0                                        0                                        3                  3.0056619639271131E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  7.2035107872931792E-004                  3.7999999999854852E+000                 -3.8914625553332525E+000                                      518                  2.5685128892591780E-004                  9.9998443590312736E-001                  1.7279210902949643E-003                  3.9004647096496647E-005                  7.8128003844213367E-008                  9.9999037380436118E-001                  1.7279210902949643E-003                  3.9004647096496647E-005                  7.8128003844213367E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2775900739001795E+003                  1.4567939545254704E+007                 -2.1390642409585819E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4844320730343839E-007                  2.6084677165131216E+003                  3.6120409161493332E+000                  3.4163854660809485E+000                  2.0073697371944341E+000                  1.0029334756394077E+000                  5.4779399035107250E+000                 -4.4057831543311350E+000                  9.2095185239586446E+000                 -1.0589305442788506E+001                  2.8366449369616468E-002                  6.1209605794009014E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  7.8997879874366972E+003                  7.1942252826458853E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529416E-003                  1.4751436645041001E-005                  7.1800000000000019E-001                  2.7283999999895787E+000                  1.0182916217398974E+000                  9.1546842247250629E-003                  2.4842732520966294E-002                 -2.1390642409585819E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.1942252826458853E-021                  5.4779399035107250E+000                 -4.4057831543311350E+000                  0.0000000000000000E+000                  9.2095185239586446E+000                  2.5411395735796258E+001                  3.7019005705805985E+047                 -4.9843735603889893E+047                 -1.2824729898083908E+047                  3.7019009832702363E+047                 -4.9843743763220727E+047                 -1.2824733717100012E+047                  4.0604035502640007E+040                  6.3320060795062020E+015                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.0604035502579222E+040                                        0                                        0                                        6                  3.0056603587442107E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  1.8668799962237360E-003                  3.7999999999635525E+000                 -3.4955563250951283E+000                                      516                  2.5268519667556201E-004                  9.9998385979884019E-001                  1.7279250307715712E-003                  3.9004647096274603E-005                  7.8128003400124157E-008                  9.9999198401651179E-001                  7.8128003400124157E-008                  9.9999640118979516E-001                  9.9999352572763955E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3403023550831176E+003                  1.5274721837683370E+007                 -2.1390633562967729E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4844320645881213E-007                  2.4877703439341649E+003                  3.6070151572745628E+000                  3.3958102864024156E+000                  2.0071336651047078E+000                  1.0034056198163543E+000                  5.4779403058436529E+000                 -4.4057812442552349E+000                  9.2095208268779007E+000                 -1.0589302472032303E+001                  2.8366464677053910E-002                  6.1209605771709985E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  1.9466650111538793E+003                  7.1943646788562943E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529424E-003                  1.4751436645041003E-005                  7.1800000000000019E-001                  2.7283999999738318E+000                  1.0182916217340201E+000                  9.1546842246722250E-003                  2.4842732520822881E-002                 -2.1390633562967729E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.1943646788562943E-021                  5.4779403058436529E+000                 -4.4057812442552349E+000                  0.0000000000000000E+000                  9.2095208268779025E+000                  2.5411397150079665E+001                  3.7019035086109677E+047                 -4.9843794383039514E+047                 -1.2824759296929836E+047                  3.7019044334308875E+047                 -4.9843813222918292E+047                 -1.2824768780182497E+047                  9.6360767268877705E+040                  1.5756378323347218E+016                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.6360767268886003E+040                                        0                                        0                                        4                  3.0056631432066951E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      25                  4.7198108322034464E-003                  3.7999999999116345E+000                 -3.0996500948570045E+000                                      516                  2.2464689387816539E-004                  9.9998278341915769E-001                  1.7279338319691887E-003                  3.9004647096940737E-005                  7.8128003400124157E-008                  9.9998278341915769E-001                  1.7279338319691887E-003                  3.9004647096940737E-005                  7.8128003400124157E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4077051182977507E+003                  1.6031119284541357E+007                 -2.1390611172411749E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4844320645678399E-007                  2.3703896979779106E+003                  3.6019267101954049E+000                  3.3748197509755853E+000                  2.0068152915496098E+000                  1.0040423669206162E+000                  5.4779420085129455E+000                 -4.4057779595108615E+000                  9.2095258398651083E+000                 -1.0589300839972552E+001                  2.8366424980867843E-002                  6.1209605697814740E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  2.9787794383548271E+002                  7.1948747402549211E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529424E-003                  1.4751436645041003E-005                  7.1800000000000008E-001                  2.7283999999365531E+000                  1.0182916217201068E+000                  9.1546842245471480E-003                  2.4842732520483475E-002                 -2.1390611172411749E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.1948747402549211E-021                  5.4779420085129464E+000                 -4.4057779595108624E+000                  0.0000000000000000E+000                  9.2095258398651101E+000                  2.5411191493612726E+001                  3.7019099016675580E+047                 -4.9843928155035982E+047                 -1.2824829138360402E+047                  3.7019118707790507E+047                 -4.9843970663074893E+047                 -1.2824851912402951E+047                  2.2846303623902932E+041                  3.9208932719468080E+016                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2846303623893616E+041                                        0                                        0                                        5                  3.0056749270551809E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  1.1818815689988476E-002                  3.7999999997880543E+000                 -2.7037438646188803E+000                                      516                  1.4819743562310330E-004                  9.9998278341915769E-001                  1.7279471169267763E-003                  2.4502515170832240E-005                  7.8128003067057250E-008                  9.9998278341915769E-001                  2.9415612115039273E-004                  2.4502515170832240E-005                  7.8128003067057250E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4617571521602474E+003                  1.6633206805314666E+007                 -2.1390554698048508E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4844320581912933E-007                  2.2845865167586539E+003                  3.5980993728685795E+000                  3.3588076093339088E+000                  2.0064638953824216E+000                  1.0047451592408692E+000                  5.4779462492688609E+000                 -4.4057710623686006E+000                  9.2095370590475358E+000                 -1.0589299702319071E+001                  2.8366298156310955E-002                  6.1209605519262267E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  4.2785325760106566E+001                  7.1961238992725895E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529416E-003                  1.4751436645041000E-005                  7.1800000000000008E-001                  2.7283999998478241E+000                  1.0182916216869919E+000                  9.1546842242494313E-003                  2.4842732519675587E-002                 -2.1390554698048508E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.1961238992725910E-021                  5.4779462492688609E+000                 -4.4057710623686006E+000                  0.0000000000000000E+000                  9.2095370590475358E+000                  2.5410622651517858E+001                  3.7019237775383467E+047                 -4.9844233704963537E+047                 -1.2824995929580071E+047                  3.7019282156840217E+047                 -4.9844332876183829E+047                 -1.2825050701907569E+047                  5.4791101674486736E+041                  9.7577059270231216E+016                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4791101674487277E+041                                        0                                        0                                        3                  3.0057042767164978E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      35                  2.9483411457712123E-002                  3.7999999994898332E+000                 -2.3078376343807565E+000                                      514                  1.4551327465094083E-004                  9.9998278341915769E-001                  1.7279319518269261E-003                  2.4502515172719619E-005                  7.8128003067057250E-008                  9.9998278341915769E-001                  1.2601743866968995E-004                  2.4502515172719619E-005                  7.8128003067057250E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4957479060958096E+003                  1.7006756126622610E+007                 -2.1390408815288726E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4844320580747961E-007                  2.2344061214244957E+003                  3.5958568383201204E+000                  3.3491621124965727E+000                  2.0061262160606712E+000                  1.0054205178502866E+000                  5.4779564475172942E+000                 -4.4057548282898624E+000                  9.2095636916795680E+000                 -1.0589297769128395E+001                  2.8365985498486016E-002                  6.1209605091480890E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  2.0837860766095357E+001                  7.1991229035418549E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529416E-003                  1.4751436645041000E-005                  7.1800000000000019E-001                  2.7283999996337012E+000                  1.0182916216070765E+000                  9.1546842235309747E-003                  2.4842732517725948E-002                 -2.1390408815288726E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.1991229035418549E-021                  5.4779564475172933E+000                 -4.4057548282898624E+000                  0.0000000000000000E+000                  9.2095636916795698E+000                  2.5409239193381890E+001                  3.7019566092185833E+047                 -4.9844965000527213E+047                 -1.2825398908341381E+047                  3.7019677365413743E+047                 -4.9845209578284830E+047                 -1.2825532202636498E+047                  1.3334316714451035E+042                  2.4288452114655507E+017                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3334316714450763E+042                                        0                                        0                                        3                  3.0057748584993917E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  7.3438578398454205E-002                  3.7999999987603807E+000                 -1.9119314041426323E+000                                      514                  9.2931226478175808E-005                  9.9998278341915769E-001                  8.5921410324228524E-004                  1.7251449211275194E-005                  7.8128002511945738E-008                  9.9998313458598298E-001                  8.5921410324228524E-004                  1.7251449211275194E-005                  7.8128002511945738E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5129450690218341E+003                  1.7190470738956712E+007                 -2.1390024226625375E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  1.4844320472427241E-007                  2.2105270160804130E+003                  3.5948395026515190E+000                  3.3444958270287972E+000                  2.0058277446639869E+000                  1.0060174605602878E+000                  5.4779821628310224E+000                 -4.4057139639911327E+000                  9.2096307773688917E+000                 -1.0589293052245454E+001                  2.8365195596505410E-002                  6.1209604013752328E-001                  8.5899893522392012E-001                  1.2724989833994209E+000                  1.9417145637863847E+001                  7.2066892931868661E-021                  7.1800000000000008E-001                  2.6797147940625970E-001                  2.4091274275684291E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571098278562297E-004                  6.5375611897529424E-003                  1.4751436645041001E-005                  7.1800000000000019E-001                  2.7283999991099539E+000                  1.0182916214116042E+000                  9.1546842217736287E-003                  2.4842732512957089E-002                 -2.1390024226625375E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  7.2066892931868661E-021                  5.4779821628310224E+000                 -4.4057139639911327E+000                  0.0000000000000000E+000                  9.2096307773688935E+000                  2.5405747892248215E+001                  3.7020428976094241E+047                 -4.9846814069426762E+047                 -1.2826385093332520E+047                  3.7020732781208039E+047                 -4.9847446051111425E+047                 -1.2826713261505358E+047                  3.2825451699172697E+042                  6.0490985132913971E+017                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.2825451699172845E+042                                        0                                        0                                        3                  3.0059528408019943E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
