                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      4.2000000000000002E+000      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                 star_age                                star_mass                                   log_dt                                num_zones                           mass_conv_core                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                  extra_L                              log_extra_L                                 log_Teff                                    log_L                                    log_R                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                        center_degeneracy                             center_gamma                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_c13                               center_n13                               center_n14                               center_o16                               center_o18                               surface_h1                            total_mass_h1                           total_mass_he4                           total_mass_c12                           total_mass_o16                                       pp                                      cno                                 tri_alfa                                   burn_c                                  c12_c12                                  c12_o16                                  o16_o16              total_internal_energy_start         total_gravitational_energy_start                       total_energy_start                    total_internal_energy               total_gravitational_energy                             total_energy                           total_eps_grav                      total_extra_heating           total_energy_sources_and_sinks 
                                       1                  1.0000000000000001E-005                  4.1999999999997630E+000                 -4.9999999999999991E+000                                      513                  2.8516686564085007E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1424411202813012E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6140293929080225E+000                  3.5042687682092590E+000                  2.0473344347412104E+000                  9.6646977432857994E-001                  5.4780510020877173E+000                 -4.4873725161064160E+000                  9.1292573502927841E+000                 -1.0775960219653472E+001                  2.6637743093768408E-002                  6.1209961539734248E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625959E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781611E-005                  7.1800000000000008E-001                  3.0155999999998344E+000                  1.1254802135062292E+000                  1.0118325537575051E-002                  2.7457764830948802E-002                 -2.1424411202813012E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.1084434550593918E+047                 -5.5296341396865614E+047                 -1.4211906846271697E+047                  4.1084435066903918E+047                 -5.5296342295295076E+047                 -1.4211906765472290E+047                  3.8718190856112261E+039                  0.0000000000000000E+000                 -3.8718190856363470E+039 
                                       2                  2.2000000000000003E-005                  4.1999999999994779E+000                 -4.9208187539523749E+000                                      513                  2.8515139770629534E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1424411097085819E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6138922891761256E+000                  3.5037116100893324E+000                  2.0473300631450408E+000                  9.6647851752088998E-001                  5.4780509556947630E+000                 -4.4873724312549736E+000                  9.1292573851158743E+000                 -1.0775959861915922E+001                  2.6637747674118434E-002                  6.1209961539850954E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625959E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781611E-005                  7.1800000000000008E-001                  3.0155999999996235E+000                  1.1254802135061499E+000                  1.0118325537574333E-002                  2.7457764830946859E-002                 -2.1424411097085819E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.1084435066903034E+047                 -5.5296342295290524E+047                 -1.4211907228387491E+047                  4.1084435684956254E+047                 -5.5296343371401902E+047                 -1.4211907230738056E+047                  4.6402261180132049E+039                  0.0000000000000000E+000                 -4.6402261180278450E+039 
                                       3                  3.6400000000000004E-005                  4.1999999999991360E+000                 -4.8416375079047498E+000                                      513                  2.8513248520026197E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1424410969898549E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6137306690670115E+000                  3.5030547615783467E+000                  2.0473248791077774E+000                  9.6648888559538160E-001                  5.4780509028279818E+000                 -4.4873723325891763E+000                  9.1292574267402760E+000                 -1.0775959449660267E+001                  2.6637752933983544E-002                  6.1209961539953905E-001                  8.5899893522242743E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625959E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781613E-005                  7.1799999999999997E-001                  3.0155999999993779E+000                  1.1254802135060595E+000                  1.0118325537573516E-002                  2.7457764830944625E-002                 -2.1424410969898549E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.1084435684955304E+047                 -5.5296343371396572E+047                 -1.4211907686441267E+047                  4.1084436424506323E+047                 -5.5296344659928261E+047                 -1.4211907788055865E+047                  5.5598559774982006E+039                  0.0000000000000000E+000                 -5.5598559774383817E+039 
                                       4                  5.3680000000000001E-005                  4.1999999999987265E+000                 -4.7624562618571247E+000                                      513                  2.8510928082597925E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1424410816832427E+001                 -9.8999999999999986E+001                 -3.7026689466669680E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6135407749615669E+000                  3.5022829167270348E+000                  2.0473187448930101E+000                  9.6650115402487391E-001                  5.4780508431920021E+000                 -4.4873722184803162E+000                  9.1292574764585854E+000                 -1.0775958978073271E+001                  2.6637758924780340E-002                  6.1209961540027225E-001                  8.5899893522242743E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625959E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781613E-005                  7.1800000000000008E-001                  3.0155999999990835E+000                  1.1254802135059494E+000                  1.0118325537572524E-002                  2.7457764830941960E-002                 -2.1424410816832427E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.1084436424505147E+047                 -5.5296344659921868E+047                 -1.4211908235416721E+047                  4.1084437308942691E+047                 -5.5296346202161636E+047                 -1.4211908455505454E+047                  6.6599802757124554E+039                  0.0000000000000000E+000                 -6.6599802756499612E+039 
                                       5                  7.4416000000000000E-005                  4.1999999999982363E+000                 -4.6832750158095005E+000                                      513                  2.8508069530470688E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1424410632535160E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6133185170551116E+000                  3.5013794046039819E+000                  2.0473115046443948E+000                  9.6651563452205358E-001                  5.4780507767204396E+000                 -4.4873720873082439E+000                  9.1292575357951193E+000                 -1.0775958443151728E+001                  2.6637765683705364E-002                  6.1209961540048319E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625959E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781611E-005                  7.1799999999999986E-001                  3.0155999999987309E+000                  1.1254802135058162E+000                  1.0118325537571346E-002                  2.7457764830938761E-002                 -2.1424410632535160E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.1084437308941344E+047                 -5.5296346202153994E+047                 -1.4211908893212649E+047                  4.1084438365946416E+047                 -5.5296348047148008E+047                 -1.4211909254604875E+047                  7.9753669981035355E+039                  0.0000000000000000E+000                 -7.9753669980939959E+039 
                                       6                  9.9299199999999986E-005                  4.1999999999976501E+000                 -4.6040937697618753E+000                                      513                  2.8504531500300745E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1424410410512678E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6130595184995329E+000                  3.5003263687813471E+000                  2.0473029838442343E+000                  9.6653267612231419E-001                  5.4780507036741932E+000                 -4.4873719375286338E+000                  9.1292576065428594E+000                 -1.0775957842198320E+001                  2.6637773226330919E-002                  6.1209961539985702E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625959E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781611E-005                  7.1799999999999997E-001                  3.0155999999983134E+000                  1.1254802135056612E+000                  1.0118325537569951E-002                  2.7457764830934973E-002                 -2.1424410410512678E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.1084438365944842E+047                 -5.5296348047138864E+047                 -1.4211909681194022E+047                  4.1084439628231402E+047                 -5.5296350253084586E+047                 -1.4211910210966890E+047                  9.5472630174987834E+039                  0.0000000000000000E+000                 -9.5472630174806652E+039 
                                       7                  1.2915903999999998E-004                  4.1999999999969475E+000                 -4.5249125237142502E+000                                      513                  2.8500128665117914E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1424410142871654E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6127592042954477E+000                  3.4991051234814949E+000                  2.0472929896024774E+000                  9.6655266460575462E-001                  5.4780506247510621E+000                 -4.4873717677479412E+000                  9.1292576908046499E+000                 -1.0775957174374469E+001                  2.6637781538348931E-002                  6.1209961539796964E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625959E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781611E-005                  7.1799999999999997E-001                  3.0155999999978054E+000                  1.1254802135054713E+000                  1.0118325537568248E-002                  2.7457764830930331E-002                 -2.1424410142871654E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.1084439628229382E+047                 -5.5296350253073642E+047                 -1.4211910624844260E+047                  4.1084441134364449E+047                 -5.5296352888907323E+047                 -1.4211911355068431E+047                  1.1424544347842252E+040                  0.0000000000000000E+000                 -1.1424544347863227E+040 
                                       8                  1.6499084799999998E-004                  4.1999999999961073E+000                 -4.4457312776666260E+000                                      514                  2.8494615433294861E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1424409820472874E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6124143123910288E+000                  3.4977022460679139E+000                  2.0472813347045258E+000                  9.6657597440157095E-001                  5.4780505411735021E+000                 -4.4873715768368259E+000                  9.1292577909736661E+000                 -1.0775956441267335E+001                  2.6637790567869486E-002                  6.1209961539427815E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625959E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881665E-003                  1.4751440853781611E-005                  7.1800000000000008E-001                  3.0155999999972041E+000                  1.1254802135052464E+000                  1.0118325537566222E-002                  2.7457764830924842E-002                 -2.1424409820472874E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.1084441134362136E+047                 -5.5296352888891787E+047                 -1.4211911754529651E+047                  4.1084442926059138E+047                 -5.5296356033046358E+047                 -1.4211912724437328E+047                  1.3665239778494697E+040                  0.0000000000000000E+000                 -1.3665239778496690E+040 
                                       9                  2.0798901759999997E-004                  4.1999999999951019E+000                 -4.3665500316190009E+000                                      514                  2.8487662643793716E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1424409431287156E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6120193182854523E+000                  3.4960951323889744E+000                  2.0472677660762089E+000                  9.6660311165810120E-001                  5.4780504548580060E+000                 -4.4873713638835850E+000                  9.1292579099568467E+000                 -1.0775955647365787E+001                  2.6637800215983817E-002                  6.1209961538806112E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625959E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881665E-003                  1.4751440853781611E-005                  7.1800000000000008E-001                  3.0155999999964798E+000                  1.1254802135049780E+000                  1.0118325537563810E-002                  2.7457764830918292E-002                 -2.1424409431287156E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.1084442926056379E+047                 -5.5296356033030748E+047                 -1.4211913106974369E+047                  4.1084445059616672E+047                 -5.5296359783763482E+047                 -1.4211914359439675E+047                  1.6337717747213657E+040                  0.0000000000000000E+000                 -1.6337717747287479E+040 
