                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      4.7999999999999998E+000      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                                num_zones                           mass_conv_core                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                  extra_L                              log_extra_L                                 log_Teff                                    log_L                                    log_R                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                        center_degeneracy                             center_gamma                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_c13                               center_n13                               center_n14                               center_o16                               center_o18                               surface_h1                            total_mass_h1                           total_mass_he4                           total_mass_c12                           total_mass_o16                                       pp                                      cno                                 tri_alfa                                   burn_c                                  c12_c12                                  c12_o16                                  o16_o16              total_internal_energy_start         total_gravitational_energy_start                       total_energy_start                    total_internal_energy               total_gravitational_energy                             total_energy                           total_eps_grav                      total_extra_heating           total_energy_sources_and_sinks                              num_retries                              num_backups                    num_newton_iterations                                log_max_T                                wimp_temp                                 Nx_total                                center_nx                                center_np 
                                       1                  1.0000000000000001E-005                  4.7999999999997165E+000                 -4.9999999999999991E+000                                      511                  3.2581806134600463E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1462988610381490E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6083469272709321E+000                  3.5861253900218202E+000                  2.0996276769216724E+000                  9.1987523694534135E-001                  5.4784711314004477E+000                 -4.5940123501752694E+000                  9.0250002683836126E+000                 -1.1021157413814317E+001                  2.4520576996836883E-002                  6.1210220030678619E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881682E-003                  1.4751440853781611E-005                  7.1799999999999997E-001                  3.4463999999997936E+000                  1.2862631011499697E+000                  1.1563800614371436E-002                  3.1380302663941324E-002                 -2.1462988610381490E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.7271978566912643E+047                 -6.3603939167550235E+047                 -1.6331960600637592E+047                  4.7271979424535138E+047                 -6.3603940486736929E+047                 -1.6331960515480051E+047                  4.6748930324055997E+039                  0.0000000000000000E+000                 -4.6748930324534097E+039                                        0                                        0                                        6                  5.4784711314004477E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  2.2000000000000003E-005                  4.7999999999993763E+000                 -4.9208187539523749E+000                                      511                  3.2579725196761470E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1462988449820347E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6082275950795291E+000                  3.5856407885304193E+000                  2.0996240405587776E+000                  9.1988250967110008E-001                  5.4784710737911189E+000                 -4.5940122443852029E+000                  9.0250003108903680E+000                 -1.1021156972617941E+001                  2.4520582240495553E-002                  6.1210220035558216E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881682E-003                  1.4751440853781611E-005                  7.1799999999999986E-001                  3.4463999999995512E+000                  1.2862631011498789E+000                  1.1563800614370619E-002                  3.1380302663939104E-002                 -2.1462988449820347E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.7271979424534237E+047                 -6.3603940486731534E+047                 -1.6331961062197296E+047                  4.7271980450615595E+047                 -6.3603942066181702E+047                 -1.6331961078054847E+047                  5.6036154325075895E+039                  0.0000000000000000E+000                 -5.6036154323594296E+039                                        0                                        0                                        6                  5.4784710737911197E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  3.6400000000000004E-005                  4.7999999999989686E+000                 -4.8416375079047498E+000                                      511                  3.2577181291916247E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1462988257286735E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6080870622771655E+000                  3.5850700447182642E+000                  2.0996197342574274E+000                  9.1989112227376391E-001                  5.4784710081264585E+000                 -4.5940121214552043E+000                  9.0250003616406396E+000                 -1.1021156464330328E+001                  2.4520588261543210E-002                  6.1210220041131569E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881682E-003                  1.4751440853781611E-005                  7.1799999999999986E-001                  3.4463999999992554E+000                  1.2862631011497700E+000                  1.1563800614369627E-002                  3.1380302663936439E-002                 -2.1462988257286735E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.7271980450614427E+047                 -6.3603942066175301E+047                 -1.6331961615560874E+047                  4.7271981676537896E+047                 -6.3603943955425882E+047                 -1.6331961752551489E+047                  6.7155072900893349E+039                  0.0000000000000000E+000                 -6.7155072901979146E+039                                        0                                        0                                        6                  5.4784710081264585E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  5.3680000000000001E-005                  4.7999999999984819E+000                 -4.7624562618571247E+000                                      510                  3.2574060722551627E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1462988026335047E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6079219340045880E+000                  3.5843993427461860E+000                  2.0996146398165436E+000                  9.1990131115548801E-001                  5.4784709340102680E+000                 -4.5940119793563392E+000                  9.0250004222016944E+000                 -1.1021155882923740E+001                  2.4520595120534935E-002                  6.1210220047438624E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881682E-003                  1.4751440853781611E-005                  7.1799999999999986E-001                  3.4463999999989086E+000                  1.2862631011496393E+000                  1.1563800614368456E-002                  3.1380302663933261E-002                 -2.1462988026335047E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.7271981676536574E+047                 -6.3603943955418385E+047                 -1.6331962278881812E+047                  4.7271983140929354E+047                 -6.3603946214776284E+047                 -1.6331962559577173E+047                  8.0461730539999028E+039                  0.0000000000000000E+000                 -8.0461730540047433E+039                                        0                                        0                                        6                  5.4784709340102680E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  7.4416000000000000E-005                  4.7999999999978975E+000                 -4.6832750158095005E+000                                      510                  3.2570217394803152E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1462987749392116E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6077287229176482E+000                  3.5836144945525730E+000                  2.0996086378936165E+000                  9.1991331500128859E-001                  5.4784708513149418E+000                 -4.5940118160852892E+000                  9.0250004944007287E+000                 -1.1021155223351823E+001                  2.4520602862379285E-002                  6.1210220054498787E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881682E-003                  1.4751440853781611E-005                  7.1799999999999986E-001                  3.4463999999984902E+000                  1.2862631011494836E+000                  1.1563800614367063E-002                  3.1380302663929466E-002                 -2.1462987749392116E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.7271983140927723E+047                 -6.3603946214767173E+047                 -1.6331963073839449E+047                  4.7271984888172547E+047                 -6.3603948914547235E+047                 -1.6331963526884306E+047                  9.6379743648747808E+039                  0.0000000000000000E+000                 -9.6379743648853117E+039                                        0                                        0                                        6                  5.4784708513149409E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.9299199999999986E-005                  4.7999999999971976E+000                 -4.6040937697618753E+000                                      510                  3.2565461813906856E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1462987417552284E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6075040364629758E+000                  3.5827016581628368E+000                  2.0996015926080935E+000                  9.1992740557227137E-001                  5.4784707602992571E+000                 -4.5940116297522202E+000                  9.0250005803637823E+000                 -1.1021154482156241E+001                  2.4520611508033262E-002                  6.1210220062301735E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881665E-003                  1.4751440853781610E-005                  7.1799999999999997E-001                  3.4463999999979840E+000                  1.2862631011492951E+000                  1.1563800614365363E-002                  3.1380302663924865E-002                 -2.1462987417552284E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.7271984888170559E+047                 -6.3603948914536234E+047                 -1.6331964026365675E+047                  4.7271986969232780E+047                 -6.3603952136653531E+047                 -1.6331964685107968E+047                  1.1541285289163883E+040                  0.0000000000000000E+000                 -1.1541285289092627E+040                                        0                                        0                                        6                  5.4784707602992571E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.2915903999999998E-004                  4.7999999999963601E+000                 -4.5249125237142502E+000                                      510                  3.2559545698156584E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1462987020130395E+001                 -9.8999999999999986E+001                 -3.7026689466669680E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6072443289210954E+000                  3.5816463522379820E+000                  2.0995933547294272E+000                  9.1994388132952842E-001                  5.4784706617511993E+000                 -4.5940114186623378E+000                  9.0250006825873879E+000                 -1.1021153658144819E+001                  2.4520621044904180E-002                  6.1210220070796018E-001                  8.5899893522242754E-001                  1.2724989834876510E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781611E-005                  7.1799999999999997E-001                  3.4463999999973880E+000                  1.2862631011490704E+000                  1.1563800614363370E-002                  3.1380302663919446E-002                 -2.1462987020130395E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.7271986969230492E+047                 -6.3603952136640413E+047                 -1.6331965167409921E+047                  4.7271989443951858E+047                 -6.3603955977862857E+047                 -1.6331966071085783E+047                  1.3815929759675582E+040                  0.0000000000000000E+000                 -1.3815929759739285E+040                                        0                                        0                                        6                  5.4784706617512002E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.6499084799999998E-004                  4.7999999999953573E+000                 -4.4457312776666260E+000                                      508                  3.2552140232065477E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1462986543184659E+001                 -9.8999999999999986E+001                 -3.7026689466669680E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6069440585582306E+000                  3.5804260177139051E+000                  2.0995837281931182E+000                  9.1996313440205579E-001                  5.4784705571867214E+000                 -4.5940111813137428E+000                  9.0250008041516150E+000                 -1.1021152753069199E+001                  2.4520631415667446E-002                  6.1210220079874134E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881665E-003                  1.4751440853781610E-005                  7.1799999999999986E-001                  3.4463999999966664E+000                  1.2862631011488037E+000                  1.1563800614360940E-002                  3.1380302663912882E-002                 -2.1462986543184659E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.7271989443949084E+047                 -6.3603955977848245E+047                 -1.6331966533899162E+047                  4.7271992390965197E+047                 -6.3603960560731355E+047                 -1.6331967726392766E+047                  1.6532595045598034E+040                  0.0000000000000000E+000                 -1.6532595045543393E+040                                        0                                        0                                        6                  5.4784705571867205E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  2.0798901759999997E-004                  4.7999999999941574E+000                 -4.3665500316190009E+000                                      508                  3.2542805004808119E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1462985971961182E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6066008494824691E+000                  3.5790308857707482E+000                  2.0995725803730623E+000                  9.1998543004205935E-001                  5.4784704488266547E+000                 -4.5940109167185383E+000                  9.0250009483809599E+000                 -1.1021151772284222E+001                  2.4520642513526234E-002                  6.1210220089372636E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881665E-003                  1.4751440853781610E-005                  7.1799999999999997E-001                  3.4463999999958053E+000                  1.2862631011484811E+000                  1.1563800614358044E-002                  3.1380302663904978E-002                 -2.1462985971961182E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.7271992390961732E+047                 -6.3603960560712501E+047                 -1.6331968169750768E+047                  4.7271995886993953E+047                 -6.3603966014497064E+047                 -1.6331969708292499E+047                  1.9775484942052969E+040                  0.0000000000000000E+000                 -1.9775484942090760E+040                                        0                                        0                                        6                  5.4784704488266556E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
