                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      5.0000000000000000E+000      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                 star_age                                star_mass                                   log_dt                           mass_conv_core                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                  extra_L                              log_extra_L                                 log_Teff                                    log_L                                    log_R                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                        center_degeneracy                             center_gamma                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_c13                               center_n13                               center_n14                               center_o16                               center_o18                               surface_h1                            total_mass_h1                           total_mass_he4                           total_mass_c12                           total_mass_o16                                       pp                                      cno                                 tri_alfa                                   burn_c                                  c12_c12                                  c12_o16                                  o16_o16              total_internal_energy_start         total_gravitational_energy_start                       total_energy_start                    total_internal_energy               total_gravitational_energy                             total_energy                           total_eps_grav                      total_extra_heating           total_energy_sources_and_sinks 
                                       1                  1.0000000000000001E-005                  4.9999999999996980E+000                 -4.9999999999999991E+000                  3.3934130346939485E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1474162046394277E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6077912520908297E+000                  3.6157521404588859E+000                  2.1155524025004100E+000                  9.0575455274829708E-001                  5.4785957409659618E+000                 -4.6262384172505575E+000                  8.9935841710036577E+000                 -1.1096361236140229E+001                  2.3914651337662060E-002                  6.1209924345071365E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781613E-005                  7.1799999999999997E-001                  3.5899999999997831E+000                  1.3398573970312173E+000                  1.2045625639970220E-002                  3.2687815274938858E-002                 -2.1474162046394277E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.9355542232974007E+047                 -6.6401443460343819E+047                 -1.7045901227369811E+047                  4.9355543218474855E+047                 -6.6401444939655301E+047                 -1.7045901084634504E+047                  5.0049348495701124E+039                  0.0000000000000000E+000                 -5.0049348496549125E+039 
                                       2                  2.2000000000000003E-005                  4.9999999999993365E+000                 -4.9208187539523749E+000                  3.3931857751051230E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1474161867376250E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6076693886422673E+000                  3.6152574320949107E+000                  2.1155487752155477E+000                  9.0576180731799072E-001                  5.4785956795228925E+000                 -4.6262383046024373E+000                  8.9935842157360977E+000                 -1.1096360759568208E+001                  2.3914656788732905E-002                  6.1209924349099354E-001                  8.5899893522242743E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781613E-005                  7.1799999999999997E-001                  3.5899999999995238E+000                  1.3398573970311205E+000                  1.2045625639969356E-002                  3.2687815274936499E-002                 -2.1474161867376250E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.9355543218473930E+047                 -6.6401444939647350E+047                 -1.7045901721173420E+047                  4.9355544395252788E+047                 -6.6401446709339049E+047                 -1.7045901690154103E+047                  5.9990843203842565E+039                  0.0000000000000000E+000                 -5.9990843204322907E+039 
                                       3                  3.6400000000000004E-005                  4.9999999999989022E+000                 -4.8416375079047498E+000                  3.3929079697702665E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1474161653039133E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6075262406312172E+000                  3.6146762493173457E+000                  2.1155444798488654E+000                  9.0577039805131754E-001                  5.4785956094552342E+000                 -4.6262381736747020E+000                  8.9935842691614614E+000                 -1.1096360210340409E+001                  2.3914663050248443E-002                  6.1209924353741751E-001                  8.5899893522242743E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781613E-005                  7.1799999999999986E-001                  3.5899999999992129E+000                  1.3398573970310046E+000                  1.2045625639968310E-002                  3.2687815274933668E-002                 -2.1474161653039133E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.9355544395251507E+047                 -6.6401446709332218E+047                 -1.7045902314080711E+047                  4.9355545800615230E+047                 -6.6401448824375068E+047                 -1.7045902414194835E+047                  7.1892738940021307E+039                  0.0000000000000000E+000                 -7.1892738939858029E+039 
                                       4                  5.3680000000000001E-005                  4.9999999999983826E+000                 -4.7624562618571247E+000                  3.3925672117101778E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1474161396383408E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6073585786154756E+000                  3.6139954497070823E+000                  2.1155394040752165E+000                  9.0578054959857046E-001                  5.4785955303304599E+000                 -4.6262380223047890E+000                  8.9935843329344909E+000                 -1.1096359581904586E+001                  2.3914670185720802E-002                  6.1209924359054102E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781613E-005                  7.1799999999999997E-001                  3.5899999999988403E+000                  1.3398573970308656E+000                  1.2045625639967058E-002                  3.2687815274930268E-002                 -2.1474161396383408E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.9355545800613835E+047                 -6.6401448824366890E+047                 -1.7045903023753055E+047                  4.9355547477136111E+047                 -6.6401451351403325E+047                 -1.7045903279624338E+047                  8.6136153885812562E+039                  0.0000000000000000E+000                 -8.6136153886829063E+039 
                                       5                  7.4416000000000000E-005                  4.9999999999977600E+000                 -4.6832750158095005E+000                  3.3921475614260904E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1474161088947447E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6071626459770370E+000                  3.6131997567495859E+000                  2.1155334228733462E+000                  9.0579251200225674E-001                  5.4785954420130762E+000                 -4.6262378483359079E+000                  8.9935844090207908E+000                 -1.1096358868754464E+001                  2.3914678242200022E-002                  6.1209924365083213E-001                  8.5899893522242743E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781613E-005                  7.1799999999999997E-001                  3.5899999999983954E+000                  1.3398573970306997E+000                  1.2045625639965574E-002                  3.2687815274926230E-002                 -2.1474161088947447E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.9355547477134407E+047                 -6.6401451351393565E+047                 -1.7045903874259159E+047                  4.9355549476690807E+047                 -6.6401454370021163E+047                 -1.7045904315876673E+047                  1.0317418074028707E+040                  0.0000000000000000E+000                 -1.0317418074021294E+040 
                                       6                  9.9299199999999986E-005                  4.9999999999970139E+000                 -4.6040937697618753E+000                  3.3916283473068166E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1474160720734652E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6069346460043561E+000                  3.6122737022230194E+000                  2.1155263955554244E+000                  9.0580656663803594E-001                  5.4785953447822138E+000                 -4.6262376497235493E+000                  8.9935844997179117E+000                 -1.1096358067087154E+001                  2.3914687241844139E-002                  6.1209924371861535E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781613E-005                  7.1800000000000008E-001                  3.5899999999978531E+000                  1.3398573970304979E+000                  1.2045625639963758E-002                  3.2687815274921289E-002                 -2.1474160720734652E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.9355549476688633E+047                 -6.6401454370006000E+047                 -1.7045904893317367E+047                  4.9355551859202336E+047                 -6.6401457973442017E+047                 -1.7045905555814705E+047                  1.2354529779185430E+040                  0.0000000000000000E+000                 -1.2354529779265452E+040 
                                       7                  1.2915903999999998E-004                  4.9999999999961204E+000                 -4.5249125237142502E+000                  3.3909824902955341E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1474160279674766E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6066703266586817E+000                  3.6111999816083000E+000                  2.1155181739394124E+000                  9.0582300986998232E-001                  5.4785952394868609E+000                 -4.6262374246177007E+000                  8.9935846077403436E+000                 -1.1096357175534727E+001                  2.3914697171861315E-002                  6.1209924379401104E-001                  8.5899893522242754E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781613E-005                  7.1799999999999997E-001                  3.5899999999972123E+000                  1.3398573970302585E+000                  1.2045625639961598E-002                  3.2687815274915460E-002                 -2.1474160279674766E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.9355551859199854E+047                 -6.6401457973428022E+047                 -1.7045906114228168E+047                  4.9355554696440621E+047                 -6.6401462272517791E+047                 -1.7045907040117011E+047                  1.4788827592311783E+040                  0.0000000000000000E+000                 -1.4788827592311369E+040 
                                       8                  1.6499084799999998E-004                  4.9999999999950511E+000                 -4.4457312776666260E+000                  3.3901741347599405E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1474159751433760E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6063655792517677E+000                  3.6099618333718713E+000                  2.1155085946350263E+000                  9.0584216847866161E-001                  5.4785951276847253E+000                 -4.6262371714793344E+000                  8.9935847362535242E+000                 -1.1096356195918831E+001                  2.3914707974725724E-002                  6.1209924387687142E-001                  8.5899893522242743E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781613E-005                  7.1799999999999997E-001                  3.5899999999964449E+000                  1.3398573970299714E+000                  1.2045625639959022E-002                  3.2687815274908473E-002                 -2.1474159751433760E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.9355554696437708E+047                 -6.6401462272501005E+047                 -1.7045907576063296E+047                  4.9355558070986352E+047                 -6.6401467397080634E+047                 -1.7045908814814562E+047                  1.7696070661508415E+040                  0.0000000000000000E+000                 -1.7696070661434099E+040 
                                       9                  2.0798901759999997E-004                  4.9999999999937703E+000                 -4.3665500316190009E+000                  3.3891552668253652E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1474159117479878E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6060140791162287E+000                  3.6085335628322697E+000                  2.1154974596363041E+000                  9.0586443847599463E-001                  5.4785950118581388E+000                 -4.6262368890350869E+000                  8.9935848891482042E+000                 -1.1096355133895395E+001                  2.3914719537120169E-002                  6.1209924396672655E-001                  8.5899893522242743E-001                  1.2724989834876512E+000                  7.1799999999999997E-001                  2.6797147940625965E-001                  2.4091251279941914E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0571096437237722E-004                  6.5375630549881674E-003                  1.4751440853781613E-005                  7.1799999999999997E-001                  3.5899999999955239E+000                  1.3398573970296301E+000                  1.2045625639955957E-002                  3.2687815274900112E-002                 -2.1474159117479878E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  4.9355558070982734E+047                 -6.6401467397042048E+047                 -1.7045909326059315E+047                  4.9355562090393480E+047                 -6.6401473510598176E+047                 -1.7045910934430443E+047                  2.1165562716548103E+040                  0.0000000000000000E+000                 -2.1165562716543146E+040 
